Date,Time,No of Vehicles,Wind Speed,Visibility,Accident
10/1/2022,1:00:00 AM,3434,6,16,3
10/1/2022,2:00:00 AM,2229,7,16,5
10/1/2022,3:00:00 AM,1583,19,16,4
10/1/2022,4:00:00 AM,1360,15,16,3
10/1/2022,5:00:00 AM,1496,15,10,2
10/1/2022,6:00:00 AM,1710,13,4,3
10/1/2022,7:00:00 AM,2507,19,5,7
10/1/2022,8:00:00 AM,3377,19,16,4
10/1/2022,9:00:00 AM,4482,15,11,6
10/1/2022,10:00:00 AM,5340,20,16,4
10/1/2022,11:00:00 AM,5894,19,2,5
10/1/2022,12:00:00 PM,6631,19,6,4
10/1/2022,1:00:00 PM,7248,15,16,3
10/1/2022,2:00:00 PM,7579,13,16,4
10/1/2022,3:00:00 PM,7697,20,16,4
10/1/2022,4:00:00 PM,7685,26,16,5
10/1/2022,5:00:00 PM,7917,19,16,4
10/1/2022,6:00:00 PM,7801,15,8,5
10/1/2022,7:00:00 PM,7187,17,6,3
10/1/2022,8:00:00 PM,6766,19,14,5
10/1/2022,9:00:00 PM,6043,13,16,5
10/1/2022,10:00:00 PM,5320,20,16,4
10/1/2022,11:00:00 PM,4891,13,16,3
10/1/2022,12:00:00 AM,4523,17,16,3
10/2/2022,1:00:00 AM,3543,15,16,4
10/2/2022,2:00:00 AM,2307,11,16,4
10/2/2022,3:00:00 AM,1790,20,16,3
10/2/2022,4:00:00 AM,1483,20,16,5
10/2/2022,5:00:00 AM,1402,17,16,6
10/2/2022,6:00:00 AM,1521,24,16,4
10/2/2022,7:00:00 AM,1842,20,16,4
10/2/2022,8:00:00 AM,2595,19,16,3
10/2/2022,9:00:00 AM,3427,20,16,4
10/2/2022,10:00:00 AM,4217,19,16,3
10/2/2022,11:00:00 AM,5678,17,16,5
10/2/2022,12:00:00 PM,6363,24,16,5
10/2/2022,1:00:00 PM,7173,13,13,4
10/2/2022,2:00:00 PM,7345,24,16,4
10/2/2022,3:00:00 PM,7468,22,16,6
10/2/2022,4:00:00 PM,7166,20,16,2
10/2/2022,5:00:00 PM,7816,26,16,4
10/2/2022,6:00:00 PM,7705,24,16,5
10/2/2022,7:00:00 PM,7569,22,16,4
10/2/2022,8:00:00 PM,6924,22,16,5
10/2/2022,9:00:00 PM,6299,17,16,3
10/2/2022,10:00:00 PM,4911,26,16,4
10/2/2022,11:00:00 PM,3856,24,16,5
10/2/2022,12:00:00 AM,2982,20,16,3
10/3/2022,1:00:00 AM,1989,15,16,5
10/3/2022,2:00:00 AM,1257,22,16,3
10/3/2022,3:00:00 AM,920,17,16,4
10/3/2022,4:00:00 AM,930,13,16,5
10/3/2022,5:00:00 AM,1494,20,16,5
10/3/2022,6:00:00 AM,3186,20,16,4
10/3/2022,7:00:00 AM,5575,15,16,4
10/3/2022,8:00:00 AM,6174,32,16,3
10/3/2022,9:00:00 AM,6573,24,16,3
10/3/2022,10:00:00 AM,6265,19,16,2
10/3/2022,11:00:00 AM,6085,22,16,5
10/3/2022,12:00:00 PM,6230,19,16,2
10/3/2022,1:00:00 PM,6323,19,13,5
10/3/2022,2:00:00 PM,6608,20,16,2
10/3/2022,3:00:00 PM,6966,15,16,5
10/3/2022,4:00:00 PM,7347,17,16,4
10/3/2022,5:00:00 PM,6903,15,14,4
10/3/2022,6:00:00 PM,6430,20,10,4
10/3/2022,7:00:00 PM,6349,9,8,5
10/3/2022,8:00:00 PM,5994,9,8,5
10/3/2022,9:00:00 PM,4666,9,16,3
10/3/2022,10:00:00 PM,3634,11,10,4
10/3/2022,11:00:00 PM,3074,13,16,5
10/3/2022,12:00:00 AM,2514,13,16,4
10/4/2022,1:00:00 AM,1654,9,8,5
10/4/2022,2:00:00 AM,1110,11,3,3
10/4/2022,3:00:00 AM,806,19,1,5
10/4/2022,4:00:00 AM,870,13,8,5
10/4/2022,5:00:00 AM,1340,11,5,4
10/4/2022,6:00:00 AM,2695,19,6,4
10/4/2022,7:00:00 AM,4897,15,8,3
10/4/2022,8:00:00 AM,5773,13,13,6
10/4/2022,9:00:00 AM,5854,13,13,4
10/4/2022,10:00:00 AM,5653,17,8,3
10/4/2022,11:00:00 AM,5860,13,16,3
10/4/2022,12:00:00 PM,5753,22,16,3
10/4/2022,1:00:00 PM,5801,17,2,3
10/4/2022,2:00:00 PM,6232,19,10,5
10/4/2022,3:00:00 PM,6756,19,8,4
10/4/2022,4:00:00 PM,7107,19,5,4
10/4/2022,5:00:00 PM,6735,24,16,5
10/4/2022,6:00:00 PM,6540,22,16,4
10/4/2022,7:00:00 PM,5964,19,16,5
10/4/2022,8:00:00 PM,4996,19,16,4
10/4/2022,9:00:00 PM,4238,9,11,4
10/4/2022,10:00:00 PM,3572,13,14,4
10/4/2022,11:00:00 PM,2997,11,5,4
10/4/2022,12:00:00 AM,2444,17,16,4
10/5/2022,1:00:00 AM,1643,13,8,6
10/5/2022,2:00:00 AM,1135,11,13,4
10/5/2022,3:00:00 AM,863,7,13,4
10/5/2022,4:00:00 AM,876,7,11,4
10/5/2022,5:00:00 AM,1281,15,3,3
10/5/2022,6:00:00 AM,2684,9,2,5
10/5/2022,7:00:00 AM,4838,11,16,3
10/5/2022,8:00:00 AM,5340,9,3,4
10/5/2022,9:00:00 AM,5288,13,3,4
10/5/2022,10:00:00 AM,5091,15,4,5
10/5/2022,11:00:00 AM,5361,6,14,4
10/5/2022,12:00:00 PM,5634,9,16,3
10/5/2022,1:00:00 PM,5814,7,16,4
10/5/2022,2:00:00 PM,6076,11,16,4
10/5/2022,3:00:00 PM,6712,13,16,4
10/5/2022,4:00:00 PM,6721,9,16,3
10/5/2022,5:00:00 PM,6553,6,14,5
10/5/2022,6:00:00 PM,6329,9,3,4
10/5/2022,7:00:00 PM,5909,6,16,6
10/5/2022,8:00:00 PM,5398,0,16,4
10/5/2022,9:00:00 PM,5072,6,16,4
10/5/2022,10:00:00 PM,4533,9,16,4
10/5/2022,11:00:00 PM,3492,0,16,4
10/5/2022,12:00:00 AM,2696,6,16,5
10/6/2022,1:00:00 AM,1879,7,16,7
10/6/2022,2:00:00 AM,1250,9,16,2
10/6/2022,3:00:00 AM,910,7,16,3
10/6/2022,4:00:00 AM,1000,6,16,4
10/6/2022,5:00:00 AM,1515,6,16,4
10/6/2022,6:00:00 AM,3162,7,16,4
10/6/2022,7:00:00 AM,5722,0,16,5
10/6/2022,8:00:00 AM,6573,6,16,3
10/6/2022,9:00:00 AM,6471,0,16,5
10/6/2022,10:00:00 AM,6567,6,16,4
10/6/2022,11:00:00 AM,5884,6,16,4
10/6/2022,12:00:00 PM,6400,9,16,3
10/6/2022,1:00:00 PM,6757,0,16,4
10/6/2022,2:00:00 PM,7445,6,16,4
10/6/2022,3:00:00 PM,7577,6,16,3
10/6/2022,4:00:00 PM,7995,6,16,5
10/6/2022,5:00:00 PM,7405,0,16,4
10/6/2022,6:00:00 PM,7307,0,16,3
10/6/2022,7:00:00 PM,7381,0,16,5
10/6/2022,8:00:00 PM,7755,0,16,3
10/6/2022,9:00:00 PM,6625,6,16,5
10/6/2022,10:00:00 PM,5439,0,16,3
10/6/2022,11:00:00 PM,4457,6,16,3
10/6/2022,12:00:00 AM,3620,6,16,6
10/7/2022,1:00:00 AM,2504,6,16,3
10/7/2022,2:00:00 AM,1582,9,16,4
10/7/2022,3:00:00 AM,1252,7,16,4
10/7/2022,4:00:00 AM,1150,0,16,4
10/7/2022,5:00:00 AM,1712,0,16,7
10/7/2022,6:00:00 AM,3065,0,16,5
10/7/2022,7:00:00 AM,5369,6,16,4
10/7/2022,8:00:00 AM,5979,9,16,5
10/7/2022,9:00:00 AM,6434,0,16,5
10/7/2022,10:00:00 AM,6232,9,16,4
10/7/2022,11:00:00 AM,7096,9,16,2
10/7/2022,12:00:00 PM,7132,0,16,4
10/7/2022,1:00:00 PM,7627,11,16,3
10/7/2022,2:00:00 PM,8092,7,16,5
10/7/2022,3:00:00 PM,8579,9,16,4
10/7/2022,4:00:00 PM,8389,9,16,5
10/7/2022,5:00:00 PM,8184,11,16,3
10/7/2022,6:00:00 PM,7907,11,16,5
10/7/2022,7:00:00 PM,7883,11,16,3
10/7/2022,8:00:00 PM,8237,11,16,6
10/7/2022,9:00:00 PM,8248,7,16,4
10/7/2022,10:00:00 PM,6912,13,16,5
10/7/2022,11:00:00 PM,5222,9,16,3
10/7/2022,12:00:00 AM,5131,6,16,5
10/8/2022,1:00:00 AM,3886,13,16,4
10/8/2022,2:00:00 AM,2530,9,16,3
10/8/2022,3:00:00 AM,1689,13,16,5
10/8/2022,4:00:00 AM,1433,6,16,5
10/8/2022,5:00:00 AM,1629,6,16,4
10/8/2022,6:00:00 AM,2027,0,16,4
10/8/2022,7:00:00 AM,3020,6,16,4
10/8/2022,8:00:00 AM,4234,13,16,3
10/8/2022,9:00:00 AM,5748,9,16,2
10/8/2022,10:00:00 AM,6522,15,16,3
10/8/2022,11:00:00 AM,7657,6,16,4
10/8/2022,12:00:00 PM,8041,0,16,5
10/8/2022,1:00:00 PM,8463,6,16,4
10/8/2022,2:00:00 PM,8559,0,16,4
10/8/2022,3:00:00 PM,8313,13,16,4
10/8/2022,4:00:00 PM,8623,11,16,4
10/8/2022,5:00:00 PM,8401,7,16,5
10/8/2022,6:00:00 PM,8490,13,16,3
10/8/2022,7:00:00 PM,8225,13,16,3
10/8/2022,8:00:00 PM,8350,13,16,5
10/8/2022,9:00:00 PM,8041,0,16,4
10/8/2022,10:00:00 PM,7039,0,16,2
10/8/2022,11:00:00 PM,6029,0,16,4
10/8/2022,12:00:00 AM,5649,6,16,5
10/9/2022,1:00:00 AM,4501,7,16,5
